id,likes,quotes,replies,retweets,searchQuery,text,timestamp,tanggal,url,user/avatar,user/description,user/joinDate,user_location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified,dataset
1.72619E+18,198,11,90,169,#gibran,"Jelas dan Komprehensif banget!!! Penjelasan ini buat mereka yang suka koar-koar bungkam dan berpikir ulang. 

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #mahkamahkonstitusi #mkmk #fahrihamza #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",2023-11-19T11:01:00.000Z,11/19/2023,https://twitter.com/dekade_08/status/1726193978993987691,https://pbs.twimg.com/profile_images/1718921288960643074/7PABQb4W.jpg,Prabowo Presiden 2024,2022-10-03T12:33:00.000Z,"DKI Jakarta, Indonesia",1774,70,347,3985,https://twitter.com//dekade_08,DEKADE 08,@dekade_08,TRUE,dekade08.id,,TRUE,prabowogibran
1.72673E+18,1,0,0,0,#gibran,"Formula Eh apa kabar ? 
#politik #politikindonesia #sindiranpolitik #partaipolitik #pemilu #pdip #hanura #nasdem #golkar #gerindra #perindo #pan #gelora #ganjarpranowo #mahfudmd #prabowo #gibran #anies #cakimin #fyp #fyp #fyp",2023-11-20T22:43:00.000Z,11/20/2023,https://twitter.com/SindiranPolit1k/status/1726732923611836890,https://pbs.twimg.com/profile_images/1713099353991299072/IhtyrYVr.jpg,,2023-10-14T07:47:00.000Z,,2,34,13,9,https://twitter.com//SindiranPolit1k,Sindiran Politik,@SindiranPolit1k,FALSE,,,FALSE,prabowogibran
1.72674E+18,0,0,0,0,#gibran,"Indonesia Maju @prabowo @gibran_rakabuming

#luhutbinsarpandjaitan #prabowo #gibran #pandawalimari #pandawa5sulbar",2023-11-20T23:20:00.000Z,11/20/2023,https://twitter.com/pandawa5sulbar/status/1726742360477065706,https://pbs.twimg.com/profile_images/1718797603637514240/IWPpqFrl.jpg,,2023-10-26T00:55:00.000Z,,1,5,1,14,https://twitter.com//pandawa5sulbar,pandawalimasulbar_offcial,@pandawa5sulbar,FALSE,,,FALSE,prabowogibran
1.72618E+18,136,36,145,50,#gibran,"Cawapres dari Koalisi Indonesia Maju Gibran Rakabuming Raka menghadiri acara Silaturahmi Nasional Desa Bersatu di Indonesia Arena, GBK, Jakarta, Minggu (19/11/2023). ~J #Gibran #PrabowoGibran #JernihMemilih #JernihkanHarapan",2023-11-19T10:16:00.000Z,11/19/2023,https://twitter.com/kompascom/status/1726182632101433731,https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8.jpg,"Jernih Melihat Dunia | Berita Indonesia Terkini, Akurat, dan Terpercaya",2009-03-08T19:32:00.000Z,Jakarta,8569717,29,166,2423284,https://twitter.com//kompascom,Kompas.com,@kompascom,TRUE,kompas.com,,TRUE,prabowogibran
1.72658E+18,118,5,49,30,#prabowo,"Hati2, WABAH DEMAM #Prabowo melanda ?????

#PrabowoGibran2024 GaS Menang 1 putaran",2023-11-20T12:47:00.000Z,11/20/2023,https://twitter.com/BANGSAygSUJUD/status/1726583012517896643,https://pbs.twimg.com/profile_images/1716436558289473536/hU-INFsf.jpg,#JokowiHebat #PrabowoPresiden2024 #?Khilafah #?PengasongKebencian #PenghebatanPancasila #PapuaHebat #?Papua #KitabNatanegara #UKMHebat #JalinPersatuan,2019-10-29T04:40:00.000Z,,28263,19642,101010,91080,https://twitter.com//BANGSAygSUJUD,B. Prasetya,@BANGSAygSUJUD,FALSE,,@BANGSAygSUJUD,FALSE,prabowogibran
1.72642E+18,121,3,34,44,#prabowo,"Satu persatu Menhan #Prabowo mendatangi pilot korban pesawat jatuh TNI AU

Pertama kali yg ditanyakan adalah kondisi anak2 serta memastikan masa depan setelah ayahnya berpulang

Kalian tidak sendiri, ayah @prabowo selalu ada untuk kalian 

Al Fatihah untuk almarhum",2023-11-20T02:16:00.000Z,11/20/2023,https://twitter.com/BANGSAygSUJUD/status/1726424283210289632,https://pbs.twimg.com/profile_images/1716436558289473536/hU-INFsf.jpg,#JokowiHebat #PrabowoPresiden2024 #?Khilafah #?PengasongKebencian #PenghebatanPancasila #PapuaHebat #?Papua #KitabNatanegara #UKMHebat #JalinPersatuan,2019-10-29T04:40:00.000Z,,28263,19642,101010,91080,https://twitter.com//BANGSAygSUJUD,B. Prasetya,@BANGSAygSUJUD,FALSE,,@BANGSAygSUJUD,FALSE,prabowogibran
1.72661E+18,50,0,1,15,#indonesiamaju,"Ini pasti banyak orang belum tahu!!! Kamu harus denger langsung dari Pak Prabowo Nih!!! 

#prabowo #prabowosubianto #kamuharustahu #sby #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",2023-11-20T14:19:00.000Z,11/20/2023,https://twitter.com/dekade_08/status/1726606229462818968,https://pbs.twimg.com/profile_images/1718921288960643074/7PABQb4W.jpg,Prabowo Presiden 2024,2022-10-03T12:33:00.000Z,"DKI Jakarta, Indonesia",1774,70,347,3985,https://twitter.com//dekade_08,DEKADE 08,@dekade_08,TRUE,dekade08.id,,TRUE,prabowogibran
1.72673E+18,1,0,0,0,#indonesiamaju,"Kinerja dan Program Pemerintah untuk kemajuan bangsa dan negara serta kesejahteraan masyarakat
#IndonesiaMaju #Jokowi #Presiden #Pemerintah #Program #Kebijakan",2023-11-20T22:48:00.000Z,11/20/2023,https://twitter.com/BerpikirP0sitif/status/1726734343023087898,https://pbs.twimg.com/profile_images/1607235699161587712/NP3vGPsL.jpg,Selalu berfikir positif!,2022-08-29T01:20:00.000Z,Sulawesi Utara,80,66,3881,2886,https://twitter.com//BerpikirP0sitif,Berpikir Positif,@BerpikirP0sitif,FALSE,,,FALSE,prabowogibran
1.72662E+18,29,0,2,9,#indonesiamaju,"Pak Prabowo dan Mas Gibran Sudah Sehati!!! Ini Buktinya!!! 

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #gemes #sehati #matanajwa #najwashihab #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",2023-11-20T14:58:00.000Z,11/20/2023,https://twitter.com/dekade_08/status/1726616112841007551,https://pbs.twimg.com/profile_images/1718921288960643074/7PABQb4W.jpg,Prabowo Presiden 2024,2022-10-03T12:33:00.000Z,"DKI Jakarta, Indonesia",1774,70,347,3985,https://twitter.com//dekade_08,DEKADE 08,@dekade_08,TRUE,dekade08.id,,TRUE,prabowogibran
1.72672E+18,1,0,0,0,#indonesiamaju,"Momen kedatangan ganjar di Papua langsung disambut oleh anak kecil meminta gendong.
#ganjarterbaikuntuknkri #indonesiamaju",2023-11-20T21:59:00.000Z,11/20/2023,https://twitter.com/putradinata776/status/1726721974075015530,https://pbs.twimg.com/profile_images/1635444933128765440/Fy6sYwN7.jpg,mencari berkah,2023-03-14T00:50:00.000Z,,308,508,1519,443,https://twitter.com//putradinata776,Putra Dinata,@putradinata776,FALSE,,,FALSE,prabowogibran
